Time,Person In,Person Out
2022/09/02 12:11:20,,1
2022/09/02 12:11:21,1,
2022/09/02 12:11:22,,1
2022/09/02 12:11:26,1,
2022/09/02 12:11:27,1,
2022/09/02 12:12:17,,1
2022/09/02 12:12:23,,1
2022/09/02 12:12:24,1,
2022/09/02 12:13:00,1,
2022/09/02 12:13:05,1,
2022/09/02 12:13:07,1,
2022/09/02 12:13:08,1,
2022/09/02 12:13:08,,1
2022/09/02 12:13:09,1,
2022/09/02 12:13:10,1,
2022/09/02 12:13:11,1,
2022/09/02 12:13:20,,1
2022/09/02 12:13:20,,1
2022/09/02 12:13:47,,1
2022/09/02 12:13:48,,1
2022/09/02 12:13:49,,1
2022/09/02 12:13:49,,1
2022/09/02 12:13:50,,1
2022/09/02 12:13:54,,1
2022/09/02 12:14:12,,1
2022/09/02 12:14:14,,1
2022/09/02 12:14:25,1,
2022/09/02 12:14:25,1,
2022/09/02 12:15:15,,1
2022/09/02 12:15:15,1,
2022/09/02 12:15:16,,1
2022/09/02 12:15:21,1,
2022/09/02 12:15:21,1,
2022/09/02 12:15:30,1,
2022/09/02 12:15:30,1,
2022/09/02 12:16:04,,1
2022/09/02 12:16:05,1,
2022/09/02 12:16:13,,1
2022/09/02 12:16:17,,1
2022/09/02 12:16:25,1,
2022/09/02 12:16:30,1,
2022/09/02 12:16:30,1,
2022/09/02 12:16:30,1,
2022/09/02 12:16:33,1,
2022/09/02 12:16:36,1,
2022/09/02 12:16:38,1,
2022/09/02 12:16:39,1,
2022/09/02 12:16:41,1,
2022/09/02 12:17:11,,1
2022/09/02 12:17:11,,1
2022/09/02 12:17:13,,1
2022/09/02 12:17:21,1,
2022/09/02 12:17:23,1,
2022/09/02 12:17:25,1,
2022/09/02 12:17:25,1,
2022/09/02 12:18:15,,1
2022/09/02 12:18:18,,1
2022/09/02 12:18:18,,1
2022/09/02 12:18:50,,1
2022/09/02 12:19:11,1,
2022/09/02 12:19:13,1,
2022/09/02 12:19:13,1,
2022/09/02 12:19:16,1,
2022/09/02 12:19:35,,1
2022/09/02 12:19:49,1,
2022/09/02 12:19:50,1,
2022/09/02 12:20:07,,1
2022/09/02 12:20:10,,1
2022/09/02 12:20:39,,1
2022/09/02 12:20:39,,1
2022/09/02 12:21:12,1,
2022/09/02 12:21:12,1,
2022/09/02 12:21:56,1,
2022/09/02 12:22:09,,1
2022/09/02 12:22:10,,1
2022/09/02 12:22:27,,1
2022/09/02 12:22:42,1,
2022/09/02 12:22:42,1,
2022/09/02 12:22:53,,1
2022/09/02 12:23:17,,1
2022/09/02 12:23:18,,1
2022/09/02 12:23:33,,1
2022/09/02 12:23:39,1,
2022/09/02 12:23:40,,1
2022/09/02 12:23:40,,1
2022/09/02 12:24:23,,1
2022/09/02 12:24:57,,1
2022/09/02 12:25:09,1,
2022/09/02 12:25:10,,1
2022/09/02 12:26:00,1,
2022/09/02 12:26:29,1,
2022/09/02 12:26:40,,1
2022/09/02 12:26:41,,1
2022/09/02 12:26:49,1,
2022/09/02 12:26:51,1,
2022/09/02 12:26:51,,1
2022/09/02 12:27:31,1,
2022/09/02 12:27:57,,1
2022/09/02 12:28:14,1,
2022/09/02 12:28:18,,1
